
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                  (svFSI v8)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 02-23-2019

 Running in parallel with 24 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Make sure nodes in elements are arranged 1-4 on
      one face and 5-8 on the opposite face
 Number of available faces: 6
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z1.vtp>
 Number of nodes: 18786
 Number of elements: 15000
 Loading fiber directions
 Mesh data imported successfully
 Domain size X: 0.000000 1.500000
 Domain size Y: 0.000000 2.500E-1
 Domain size Z: 0.000000 5.000000
 Number of equations: 1
 Using preconditioner: Trilinos-ILUT
 Number of imposed BC for equation <vms_struct>: 5
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2773 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 465966
 Initializing state variables to zero
 Volume of domain 1.874999
 Area of face <X0> is 1.249999
 Area of face <X1s> is 1.250000
 Area of face <Y0> is 7.500000
 Area of face <Y1s> is 7.500000
 Area of face <Z0> is 3.749E-1
 Area of face <Z1> is 3.749E-1

----------------------------------------------------------
Eq     N-i     T      dB   Ri/R0    R/Ri     lsIt  dB  %t
----------------------------------------------------------
 New time step size: 1.000E-4
ST  3263-1  1.37E4  [   0 5.24E-2 9.65E-7]  [  81 -24  87]
ST  3263-2  1.37E4  [ -75 9.19E-6 9.84E-7]  [  93 -57  88]
ST  3263-3  1.37E4  [-184 2.9E-11 9.65E-7]  [  95 -66  89]
ST  3264-1  1.37E4  [   0 5.24E-2 9.59E-7]  [  81 -25  87]
ST  3264-2  1.37E4  [ -75 9.19E-6 9.73E-7]  [  93 -57  88]
ST  3264-3  1.37E4  [-185 2.6E-11 9.74E-7]  [ 108  -1  91]
ST  3265-1  1.37E4  [   0 5.24E-2 9.61E-7]  [  81 -24  87]
ST  3265-2  1.37E4  [ -75 9.18E-6 9.69E-7]  [  93 -57  87]
ST  3265-3  1.37E4  [-185 2.7E-11 9.60E-7]  [ 115  -6  91]
ST  3266-1  1.37E4  [   0 5.23E-2 9.55E-7]  [  81 -25  87]
ST  3266-2  1.37E4  [ -75 9.18E-6 9.77E-7]  [  93 -57  88]
ST  3266-3  1.37E4  [-185 2.7E-11 9.85E-7]  [ 112  -3  91]
ST  3267-1  1.37E4  [   0 5.23E-2 9.59E-7]  [  81 -24  87]
ST  3267-2  1.37E4  [ -75 9.17E-6 9.97E-7]  [  93 -57  88]
ST  3267-3  1.37E4  [-185 2.7E-11 9.78E-7]  [ 112  -4  91]
ST  3268-1  1.38E4  [   0 5.23E-2 9.59E-7]  [  81 -25  87]
ST  3268-2  1.38E4  [ -75 9.17E-6 9.82E-7]  [  93 -57  88]
ST  3268-3  1.38E4  [-185 2.7E-11 9.75E-7]  [ 100 -66  88]
ST  3269-1  1.38E4  [   0 5.23E-2 9.58E-7]  [  81 -25  87]
ST  3269-2  1.38E4  [ -75 9.17E-6 9.32E-7]  [  93 -58  88]
ST  3269-3  1.38E4  [-185 2.7E-11 9.67E-7]  [ 115  -6  91]
ST  3270-1  1.38E4  [   0 5.23E-2 9.60E-7]  [  81 -24  87]
ST  3270-2  1.38E4  [ -75 9.16E-6 9.43E-7]  [  93 -58  88]
ST  3270-3s 1.38E4  [-185 2.7E-11 9.33E-7]  [ 116  -8  91]
ST  3271-1  1.38E4  [   0 5.23E-2 9.57E-7]  [  81 -25  48]
ST  3271-2  1.38E4  [ -75 9.16E-6 9.40E-7]  [  93 -58  88]
ST  3271-3  1.38E4  [-185 2.7E-11 8.70E-7]  [ 116  -8  91]
ST  3272-1  1.38E4  [   0 5.23E-2 9.63E-7]  [  81 -24  87]
ST  3272-2  1.38E4  [ -75 9.15E-6 9.29E-7]  [  93 -58  88]
ST  3272-3  1.38E4  [-185 2.6E-11 9.67E-7]  [ 113  -4  91]
ST  3273-1  1.38E4  [   0 5.23E-2 9.60E-7]  [  81 -25  87]
ST  3273-2  1.38E4  [ -75 9.15E-6 9.68E-7]  [  93 -58  88]
ST  3273-3  1.38E4  [-185 2.6E-11 9.81E-7]  [  95 -66  88]
ST  3274-1  1.38E4  [   0 5.23E-2 9.64E-7]  [  81 -24  87]
ST  3274-2  1.38E4  [ -75 9.15E-6 9.78E-7]  [  93 -57  88]
ST  3274-3  1.38E4  [-185 2.7E-11 9.84E-7]  [ 114  -6  91]
ST  3275-1  1.38E4  [   0 5.23E-2 9.60E-7]  [  81 -25  87]
ST  3275-2  1.38E4  [ -75 9.14E-6 9.63E-7]  [  93 -58  88]
ST  3275-3  1.38E4  [-185 2.7E-11 9.86E-7]  [ 115  -6  91]
ST  3276-1  1.38E4  [   0 5.23E-2 9.61E-7]  [  81 -24  87]
ST  3276-2  1.38E4  [ -75 9.14E-6 9.77E-7]  [  93 -57  88]
ST  3276-3  1.38E4  [-185 2.8E-11 8.00E-7]  [  94 -68  88]
ST  3277-1  1.38E4  [   0 5.22E-2 9.59E-7]  [  81 -25  87]
ST  3277-2  1.38E4  [ -75 9.13E-6 9.95E-7]  [  93 -57  88]
ST  3277-3  1.38E4  [-185 2.7E-11 9.63E-7]  [ 113  -5  91]
ST  3278-1  1.38E4  [   0 5.22E-2 9.68E-7]  [  81 -24  87]
ST  3278-2  1.38E4  [ -75 9.13E-6 9.72E-7]  [  93 -57  89]
ST  3278-3  1.38E4  [-185 2.7E-11 8.65E-7]  [  95 -67  88]
ST  3279-1  1.38E4  [   0 5.22E-2 9.57E-7]  [  81 -25  87]
ST  3279-2  1.38E4  [ -75 9.13E-6 9.47E-7]  [  93 -58  88]
ST  3279-3  1.38E4  [-185 2.7E-11 9.35E-7]  [ 116  -7  87]
ST  3280-1  1.38E4  [   0 5.22E-2 9.61E-7]  [  81 -25  87]
ST  3280-2  1.38E4  [ -75 9.12E-6 9.43E-7]  [  93 -58  88]
ST  3280-3s 1.38E4  [-185 2.7E-11 9.52E-7]  [ 108  -2  91]
ST  3281-1  1.38E4  [   0 5.22E-2 9.58E-7]  [  81 -25  49]
ST  3281-2  1.38E4  [ -75 9.12E-6 9.55E-7]  [  93 -58  88]
ST  3281-3  1.38E4  [-185 2.7E-11 9.40E-7]  [ 115  -6  91]
ST  3282-1  1.38E4  [   0 5.22E-2 9.66E-7]  [  81 -24  87]
ST  3282-2  1.38E4  [ -75 9.11E-6 9.70E-7]  [  93 -57  88]
ST  3282-3  1.38E4  [-185 2.6E-11 9.81E-7]  [ 109  -2  91]
ST  3283-1  1.38E4  [   0 5.22E-2 9.54E-7]  [  81 -25  87]
ST  3283-2  1.38E4  [ -75 9.11E-6 8.95E-7]  [  94 -58  88]
ST  3283-3  1.38E4  [-185 2.6E-11 8.89E-7]  [ 107  -2  91]
ST  3284-1  1.38E4  [   0 5.22E-2 9.58E-7]  [  81 -25  87]
ST  3284-2  1.38E4  [ -75 9.11E-6 9.94E-7]  [  93 -57  88]
ST  3284-3  1.38E4  [-185 2.8E-11 9.64E-7]  [ 108  -2  91]
ST  3285-1  1.38E4  [   0 5.22E-2 9.54E-7]  [  81 -25  87]
ST  3285-2  1.38E4  [ -75 9.10E-6 9.94E-7]  [  93 -57  89]
ST  3285-3  1.38E4  [-185 2.7E-11 9.95E-7]  [ 113  -6  91]
ST  3286-1  1.38E4  [   0 5.22E-2 9.58E-7]  [  81 -25  87]
ST  3286-2  1.38E4  [ -75 9.10E-6 9.82E-7]  [  93 -57  88]
ST  3286-3  1.38E4  [-185 2.7E-11 9.40E-7]  [  95 -66  88]
ST  3287-1  1.38E4  [   0 5.21E-2 9.58E-7]  [  81 -25  87]
ST  3287-2  1.38E4  [ -75 9.10E-6 8.86E-7]  [  94 -58  88]
ST  3287-3  1.38E4  [-185 2.7E-11 9.58E-7]  [ 107  -2  91]
ST  3288-1  1.38E4  [   0 5.21E-2 9.62E-7]  [  81 -25  87]
ST  3288-2  1.38E4  [ -75 9.09E-6 9.93E-7]  [  93 -57  88]
ST  3288-3  1.38E4  [-185 2.7E-11 9.43E-7]  [ 112  -4  91]
ST  3289-1  1.38E4  [   0 5.21E-2 9.57E-7]  [  81 -25  87]
ST  3289-2  1.38E4  [ -75 9.09E-6 9.02E-7]  [  94 -58  88]
ST  3289-3  1.38E4  [-185 2.7E-11 9.89E-7]  [  99 -57  88]
ST  3290-1  1.38E4  [   0 5.21E-2 9.64E-7]  [  81 -25  87]
ST  3290-2  1.38E4  [ -75 9.08E-6 8.97E-7]  [  94 -58  88]
ST  3290-3s 1.38E4  [-185 2.6E-11 9.56E-7]  [  99 -57  88]
ST  3291-1  1.38E4  [   0 5.21E-2 9.64E-7]  [  81 -25  49]
ST  3291-2  1.38E4  [ -75 9.08E-6 8.99E-7]  [  94 -58  88]
ST  3291-3  1.38E4  [-185 2.7E-11 9.92E-7]  [  97 -57  88]
ST  3292-1  1.38E4  [   0 5.21E-2 9.65E-7]  [  81 -25  87]
ST  3292-2  1.39E4  [ -75 9.08E-6 9.24E-7]  [  94 -58  88]
ST  3292-3  1.39E4  [-185 2.8E-11 8.58E-7]  [ 107  -2  92]
ST  3293-1  1.39E4  [   0 5.21E-2 9.62E-7]  [  81 -25  87]
ST  3293-2  1.39E4  [ -75 9.07E-6 9.01E-7]  [  94 -58  88]
ST  3293-3  1.39E4  [-185 2.6E-11 9.59E-7]  [ 101 -58  88]
ST  3294-1  1.39E4  [   0 5.21E-2 9.66E-7]  [  81 -25  87]
ST  3294-2  1.39E4  [ -75 9.07E-6 9.31E-7]  [  94 -58  87]
ST  3294-3  1.39E4  [-185 2.6E-11 8.61E-7]  [ 102 -57  88]
ST  3295-1  1.39E4  [   0 5.21E-2 9.62E-7]  [  81 -25  87]
ST  3295-2  1.39E4  [ -75 9.07E-6 9.30E-7]  [  94 -58  88]
ST  3295-3  1.39E4  [-185 2.7E-11 9.75E-7]  [ 102 -56  88]
ST  3296-1  1.39E4  [   0 5.21E-2 9.58E-7]  [  81 -25  87]
ST  3296-2  1.39E4  [ -75 9.06E-6 9.22E-7]  [  94 -58  88]
ST  3296-3  1.39E4  [-185 2.7E-11 9.52E-7]  [  99 -57  88]
ST  3297-1  1.39E4  [   0 5.21E-2 9.66E-7]  [  81 -24  82]
ST  3297-2  1.39E4  [ -75 9.06E-6 9.05E-7]  [  94 -58  88]
ST  3297-3  1.39E4  [-185 2.6E-11 8.74E-7]  [  98 -58  88]
ST  3298-1  1.39E4  [   0 5.20E-2 9.62E-7]  [  81 -25  87]
ST  3298-2  1.39E4  [ -75 9.05E-6 9.41E-7]  [  94 -58  88]
ST  3298-3  1.39E4  [-185 2.7E-11 8.53E-7]  [ 107  -2  91]
ST  3299-1  1.39E4  [   0 5.20E-2 9.63E-7]  [  81 -25  87]
ST  3299-2  1.39E4  [ -75 9.05E-6 9.06E-7]  [  94 -58  88]
ST  3299-3  1.39E4  [-185 2.7E-11 9.76E-7]  [  98 -57  88]
ST  3300-1  1.39E4  [   0 5.20E-2 9.61E-7]  [  81 -25  87]
ST  3300-2  1.39E4  [ -75 9.04E-6 9.10E-7]  [  94 -58  89]
ST  3300-3s 1.39E4  [-185 2.7E-11 9.69E-7]  [ 101 -56  88]
ST  3301-1  1.39E4  [   0 5.20E-2 9.66E-7]  [  81 -25  49]
ST  3301-2  1.39E4  [ -75 9.04E-6 9.37E-7]  [  94 -58  88]
ST  3301-3  1.39E4  [-185 2.7E-11 8.50E-7]  [ 107  -2  91]
ST  3302-1  1.39E4  [   0 5.20E-2 9.65E-7]  [  81 -25  87]
ST  3302-2  1.39E4  [ -75 9.04E-6 8.91E-7]  [  94 -58  88]
ST  3302-3  1.39E4  [-185 2.6E-11 9.76E-7]  [  97 -57  88]
ST  3303-1  1.39E4  [   0 5.20E-2 9.64E-7]  [  81 -25  87]
ST  3303-2  1.39E4  [ -75 9.03E-6 9.18E-7]  [  94 -58  88]
ST  3303-3  1.39E4  [-185 2.7E-11 9.40E-7]  [ 102 -56  88]
ST  3304-1  1.39E4  [   0 5.20E-2 9.70E-7]  [  81 -24  87]
ST  3304-2  1.39E4  [ -75 9.03E-6 9.25E-7]  [  94 -58  88]
ST  3304-3  1.39E4  [-185 2.7E-11 9.96E-7]  [ 102 -55  88]
ST  3305-1  1.39E4  [   0 5.20E-2 9.60E-7]  [  81 -25  87]
ST  3305-2  1.39E4  [ -75 9.03E-6 9.39E-7]  [  94 -58  88]
ST  3305-3  1.39E4  [-185 2.7E-11 9.60E-7]  [ 102 -55  88]
ST  3306-1  1.39E4  [   0 5.20E-2 9.69E-7]  [  81 -24  87]
ST  3306-2  1.39E4  [ -75 9.02E-6 9.69E-7]  [  94 -57  88]
ST  3306-3  1.39E4  [-185 2.7E-11 8.63E-7]  [ 101 -53  88]
ST  3307-1  1.39E4  [   0 5.20E-2 9.63E-7]  [  81 -25  87]
ST  3307-2  1.39E4  [ -75 9.02E-6 9.02E-7]  [  94 -58  88]
ST  3307-3  1.39E4  [-185 2.7E-11 9.91E-7]  [ 101 -58  88]
ST  3308-1  1.39E4  [   0 5.20E-2 9.62E-7]  [  81 -25  89]
ST  3308-2  1.39E4  [ -75 9.01E-6 9.17E-7]  [  94 -58  88]
ST  3308-3  1.39E4  [-185 2.6E-11 8.79E-7]  [  98 -58  88]
ST  3309-1  1.39E4  [   0 5.19E-2 9.64E-7]  [  81 -25  87]
ST  3309-2  1.39E4  [ -75 9.01E-6 8.94E-7]  [  94 -58  88]
ST  3309-3  1.39E4  [-185 2.7E-11 9.83E-7]  [  99 -57  88]
ST  3310-1  1.39E4  [   0 5.19E-2 9.59E-7]  [  81 -25  87]
ST  3310-2  1.39E4  [ -75 9.01E-6 9.81E-7]  [  93 -57  88]
ST  3310-3s 1.39E4  [-185 2.6E-11 9.80E-7]  [ 108  -2  91]
ST  3311-1  1.39E4  [   0 5.19E-2 9.59E-7]  [  81 -25  49]
ST  3311-2  1.39E4  [ -75 9.00E-6 9.99E-7]  [  93 -57  88]
ST  3311-3  1.39E4  [-185 2.8E-11 7.37E-7]  [  94 -68  88]
ST  3312-1  1.39E4  [   0 5.19E-2 9.61E-7]  [  81 -25  87]
ST  3312-2  1.39E4  [ -75 9.00E-6 9.11E-7]  [  94 -58  88]
ST  3312-3  1.39E4  [-185 2.7E-11 8.42E-7]  [  98 -59  88]
ST  3313-1  1.39E4  [   0 5.19E-2 9.58E-7]  [  81 -25  87]
ST  3313-2  1.39E4  [ -75 9.00E-6 9.17E-7]  [  94 -58  88]
ST  3313-3  1.39E4  [-185 2.7E-11 8.50E-7]  [  98 -58  88]
ST  3314-1  1.39E4  [   0 5.19E-2 9.60E-7]  [  81 -25  87]
ST  3314-2  1.39E4  [ -75 8.99E-6 8.91E-7]  [  94 -58  88]
ST  3314-3  1.39E4  [-184 2.9E-11 9.99E-7]  [ 105   0  91]
ST  3315-1  1.39E4  [   0 5.19E-2 9.62E-7]  [  81 -25  87]
ST  3315-2  1.39E4  [ -75 8.99E-6 8.91E-7]  [  94 -58  88]
ST  3315-3  1.39E4  [-185 2.6E-11 8.60E-7]  [ 107  -2  92]
ST  3316-1  1.39E4  [   0 5.19E-2 9.63E-7]  [  81 -25  87]
ST  3316-2  1.39E4  [ -75 8.98E-6 8.94E-7]  [  94 -58  88]
ST  3316-3  1.39E4  [-185 2.6E-11 9.71E-7]  [ 101 -58  88]
ST  3317-1  1.39E4  [   0 5.19E-2 9.63E-7]  [  81 -25  87]
ST  3317-2  1.39E4  [ -75 8.98E-6 9.44E-7]  [  94 -58  88]
ST  3317-3  1.40E4  [-185 2.7E-11 9.47E-7]  [ 102 -55  88]
ST  3318-1  1.40E4  [   0 5.19E-2 9.61E-7]  [  81 -25  87]
ST  3318-2  1.40E4  [ -75 8.98E-6 9.31E-7]  [  94 -58  88]
ST  3318-3  1.40E4  [-185 2.7E-11 9.78E-7]  [  99 -56  88]
ST  3319-1  1.40E4  [   0 5.18E-2 9.64E-7]  [  81 -25  87]
ST  3319-2  1.40E4  [ -75 8.97E-6 9.38E-7]  [  94 -58  88]
ST  3319-3  1.40E4  [-184 2.9E-11 9.68E-7]  [ 102 -55  88]
ST  3320-1  1.40E4  [   0 5.18E-2 9.59E-7]  [  81 -25  87]
ST  3320-2  1.40E4  [ -75 8.97E-6 8.95E-7]  [  94 -58  88]
ST  3320-3s 1.40E4  [-185 2.8E-11 9.64E-7]  [ 101 -58  88]
ST  3321-1  1.40E4  [   0 5.18E-2 9.70E-7]  [  81 -24  49]
ST  3321-2  1.40E4  [ -75 8.97E-6 9.33E-7]  [  94 -58  88]
ST  3321-3  1.40E4  [-185 2.8E-11 9.27E-7]  [  99 -57  88]
ST  3322-1  1.40E4  [   0 5.18E-2 9.59E-7]  [  81 -25  87]
ST  3322-2  1.40E4  [ -75 8.96E-6 9.25E-7]  [  94 -58  88]
ST  3322-3  1.40E4  [-185 2.7E-11 9.92E-7]  [  97 -57  88]
ST  3323-1  1.40E4  [   0 5.18E-2 9.63E-7]  [  81 -25  87]
ST  3323-2  1.40E4  [ -75 8.96E-6 9.53E-7]  [  94 -58  89]
ST  3323-3  1.40E4  [-185 2.6E-11 9.89E-7]  [ 106   0  91]
ST  3324-1  1.40E4  [   0 5.18E-2 9.63E-7]  [  81 -25  87]
ST  3324-2  1.40E4  [ -75 8.95E-6 9.28E-7]  [  94 -58  88]
ST  3324-3  1.40E4  [-185 2.7E-11 9.78E-7]  [  98 -57  88]
ST  3325-1  1.40E4  [   0 5.18E-2 9.63E-7]  [  81 -25  87]
ST  3325-2  1.40E4  [ -75 8.95E-6 9.26E-7]  [  94 -58  88]
ST  3325-3  1.40E4  [-185 2.6E-11 9.11E-7]  [  98 -58  88]
ST  3326-1  1.40E4  [   0 5.18E-2 9.68E-7]  [  81 -25  87]
ST  3326-2  1.40E4  [ -75 8.95E-6 9.47E-7]  [  94 -58  88]
ST  3326-3  1.40E4  [-185 2.6E-11 8.93E-7]  [ 107  -2  91]
ST  3327-1  1.40E4  [   0 5.18E-2 9.63E-7]  [  81 -25  87]
ST  3327-2  1.40E4  [ -75 8.94E-6 9.99E-7]  [  93 -57  88]
ST  3327-3  1.40E4  [-185 2.7E-11 9.77E-7]  [ 109  -3  91]
ST  3328-1  1.40E4  [   0 5.18E-2 9.65E-7]  [  81 -25  87]
ST  3328-2  1.40E4  [ -75 8.94E-6 9.99E-7]  [  93 -57  88]
ST  3328-3  1.40E4  [-185 2.7E-11 9.87E-7]  [ 102 -65  88]
ST  3329-1  1.40E4  [   0 5.18E-2 9.66E-7]  [  81 -25  87]
ST  3329-2  1.40E4  [ -75 8.94E-6 9.15E-7]  [  94 -58  88]
ST  3329-3  1.40E4  [-185 2.7E-11 9.38E-7]  [  99 -58  88]
ST  3330-1  1.40E4  [   0 5.17E-2 9.59E-7]  [  81 -25  87]
ST  3330-2  1.40E4  [ -75 8.93E-6 9.10E-7]  [  94 -58  88]
ST  3330-3s 1.40E4  [-185 2.7E-11 8.72E-7]  [ 107  -2  89]
ST  3331-1  1.40E4  [   0 5.17E-2 9.64E-7]  [  81 -25  48]
ST  3331-2  1.40E4  [ -75 8.93E-6 9.07E-7]  [  94 -58  88]
ST  3331-3  1.40E4  [-185 2.7E-11 9.55E-7]  [ 101 -58  88]
ST  3332-1  1.40E4  [   0 5.17E-2 9.72E-7]  [  81 -24  87]
ST  3332-2  1.40E4  [ -75 8.92E-6 9.04E-7]  [  94 -58  88]
ST  3332-3  1.40E4  [-185 2.7E-11 9.42E-7]  [ 102 -58  88]
ST  3333-1  1.40E4  [   0 5.17E-2 9.66E-7]  [  81 -25  87]
ST  3333-2  1.40E4  [ -75 8.92E-6 9.08E-7]  [  94 -58  88]
ST  3333-3  1.40E4  [-185 2.8E-11 9.84E-7]  [ 101 -58  87]
ST  3334-1  1.40E4  [   0 5.17E-2 9.65E-7]  [  81 -25  87]
ST  3334-2  1.40E4  [ -75 8.92E-6 9.46E-7]  [  94 -58  88]
ST  3334-3  1.40E4  [-185 2.7E-11 9.75E-7]  [ 102 -56  88]
ST  3335-1  1.40E4  [   0 5.17E-2 9.69E-7]  [  81 -25  87]
ST  3335-2  1.40E4  [ -75 8.91E-6 9.47E-7]  [  94 -58  88]
ST  3335-3  1.40E4  [-185 2.8E-11 9.95E-7]  [ 102 -56  88]
ST  3336-1  1.40E4  [   0 5.17E-2 9.65E-7]  [  81 -25  87]
ST  3336-2  1.40E4  [ -75 8.91E-6 9.38E-7]  [  94 -58  88]
ST  3336-3  1.40E4  [-185 2.6E-11 9.56E-7]  [ 101 -57  88]
ST  3337-1  1.40E4  [   0 5.17E-2 9.70E-7]  [  81 -25  87]
ST  3337-2  1.40E4  [ -75 8.91E-6 9.09E-7]  [  94 -58  88]
ST  3337-3  1.40E4  [-185 2.7E-11 9.63E-7]  [  97 -57  88]
ST  3338-1  1.40E4  [   0 5.17E-2 9.63E-7]  [  81 -25  62]
ST  3338-2  1.40E4  [ -75 8.90E-6 9.16E-7]  [  94 -58  89]
ST  3338-3  1.40E4  [-185 2.6E-11 9.02E-7]  [  99 -58  88]
ST  3339-1  1.40E4  [   0 5.17E-2 9.64E-7]  [  81 -25  87]
ST  3339-2  1.40E4  [ -75 8.90E-6 9.16E-7]  [  94 -58  88]
ST  3339-3  1.40E4  [-185 2.6E-11 9.02E-7]  [ 100 -58  88]
ST  3340-1  1.40E4  [   0 5.17E-2 9.62E-7]  [  81 -25  87]
ST  3340-2  1.40E4  [ -75 8.89E-6 9.94E-7]  [  93 -57  87]
ST  3340-3s 1.40E4  [-185 2.7E-11 9.76E-7]  [ 100 -65  88]
ST  3341-1  1.40E4  [   0 5.16E-2 9.65E-7]  [  81 -25  49]
ST  3341-2  1.40E4  [ -75 8.89E-6 8.98E-7]  [  94 -58  88]
ST  3341-3  1.40E4  [-185 2.7E-11 8.84E-7]  [ 107  -2  91]
ST  3342-1  1.40E4  [   0 5.16E-2 9.70E-7]  [  81 -25  87]
ST  3342-2  1.40E4  [ -75 8.89E-6 9.99E-7]  [  93 -57  88]
ST  3342-3  1.41E4  [-185 2.7E-11 7.86E-7]  [  94 -67  88]
ST  3343-1  1.41E4  [   0 5.16E-2 9.67E-7]  [  81 -25  87]
ST  3343-2  1.41E4  [ -75 8.88E-6 9.08E-7]  [  94 -58  88]
ST  3343-3  1.41E4  [-185 2.6E-11 9.38E-7]  [ 101 -58  88]
ST  3344-1  1.41E4  [   0 5.16E-2 9.63E-7]  [  81 -25  87]
ST  3344-2  1.41E4  [ -75 8.88E-6 9.29E-7]  [  94 -58  88]
ST  3344-3  1.41E4  [-185 2.7E-11 9.86E-7]  [  98 -57  88]
ST  3345-1  1.41E4  [   0 5.16E-2 9.69E-7]  [  81 -25  87]
ST  3345-2  1.41E4  [ -75 8.88E-6 9.07E-7]  [  94 -58  88]
ST  3345-3  1.41E4  [-185 2.6E-11 8.94E-7]  [  99 -58  88]
ST  3346-1  1.41E4  [   0 5.16E-2 9.60E-7]  [  81 -25  89]
ST  3346-2  1.41E4  [ -75 8.87E-6 9.55E-7]  [  94 -58  88]
ST  3346-3  1.41E4  [-185 2.7E-11 8.11E-7]  [ 107  -2  91]
ST  3347-1  1.41E4  [   0 5.16E-2 9.57E-7]  [  81 -25  87]
ST  3347-2  1.41E4  [ -75 8.87E-6 9.56E-7]  [  94 -58  88]
ST  3347-3  1.41E4  [-185 2.6E-11 8.61E-7]  [ 107  -2  91]
ST  3348-1  1.41E4  [   0 5.16E-2 9.67E-7]  [  81 -25  87]
ST  3348-2  1.41E4  [ -75 8.87E-6 9.48E-7]  [  94 -58  88]
ST  3348-3  1.41E4  [-185 2.7E-11 9.68E-7]  [ 102 -54  88]
ST  3349-1  1.41E4  [   0 5.16E-2 9.72E-7]  [  81 -24  87]
ST  3349-2  1.41E4  [ -75 8.86E-6 8.88E-7]  [  94 -58  88]
ST  3349-3  1.41E4  [-185 2.6E-11 9.77E-7]  [  99 -57  88]
ST  3350-1  1.41E4  [   0 5.16E-2 9.62E-7]  [  81 -25  87]
ST  3350-2  1.41E4  [ -75 8.86E-6 9.03E-7]  [  94 -58  88]
ST  3350-3s 1.41E4  [-185 2.8E-11 9.77E-7]  [ 101 -57  88]
ST  3351-1  1.41E4  [   0 5.16E-2 9.68E-7]  [  81 -25  49]
ST  3351-2  1.41E4  [ -75 8.85E-6 9.02E-7]  [  94 -58  88]
ST  3351-3  1.41E4  [-185 2.6E-11 9.71E-7]  [ 102 -59  88]
ST  3352-1  1.41E4  [   0 5.15E-2 9.63E-7]  [  81 -25  87]
ST  3352-2  1.41E4  [ -75 8.85E-6 9.17E-7]  [  94 -58  88]
ST  3352-3  1.41E4  [-185 2.7E-11 9.24E-7]  [ 100 -58  88]
ST  3353-1  1.41E4  [   0 5.15E-2 9.66E-7]  [  81 -25  87]
ST  3353-2  1.41E4  [ -75 8.85E-6 9.05E-7]  [  94 -58  88]
ST  3353-3  1.41E4  [-185 2.6E-11 9.51E-7]  [ 102 -58  76]
ST  3354-1  1.41E4  [   0 5.15E-2 9.65E-7]  [  81 -25  87]
ST  3354-2  1.41E4  [ -75 8.84E-6 9.38E-7]  [  94 -58  88]
ST  3354-3  1.41E4  [-185 2.6E-11 9.68E-7]  [ 100 -56  88]
ST  3355-1  1.41E4  [   0 5.15E-2 9.69E-7]  [  81 -25  87]
ST  3355-2  1.41E4  [ -75 8.84E-6 9.24E-7]  [  94 -58  88]
ST  3355-3  1.41E4  [-185 2.8E-11 9.72E-7]  [ 101 -56  88]
ST  3356-1  1.41E4  [   0 5.15E-2 9.64E-7]  [  81 -25  87]
ST  3356-2  1.41E4  [ -75 8.84E-6 9.32E-7]  [  94 -58  88]
ST  3356-3  1.41E4  [-185 2.7E-11 9.45E-7]  [  99 -57  88]
ST  3357-1  1.41E4  [   0 5.15E-2 9.65E-7]  [  81 -25  87]
ST  3357-2  1.41E4  [ -75 8.83E-6 9.21E-7]  [  94 -58  88]
ST  3357-3  1.41E4  [-185 2.7E-11 9.23E-7]  [  98 -58  88]
ST  3358-1  1.41E4  [   0 5.15E-2 9.62E-7]  [  81 -25  87]
ST  3358-2  1.41E4  [ -75 8.83E-6 9.32E-7]  [  94 -58  88]
ST  3358-3  1.41E4  [-185 2.6E-11 9.46E-7]  [ 100 -57  88]
ST  3359-1  1.41E4  [   0 5.15E-2 9.68E-7]  [  81 -25  87]
ST  3359-2  1.41E4  [ -75 8.83E-6 9.58E-7]  [  94 -58  88]
ST  3359-3  1.41E4  [-185 2.7E-11 8.36E-7]  [ 107  -2  91]
ST  3360-1  1.41E4  [   0 5.15E-2 9.68E-7]  [  81 -25  87]
ST  3360-2  1.41E4  [ -75 8.82E-6 9.80E-7]  [  94 -57  88]
ST  3360-3s 1.41E4  [-185 2.7E-11 8.70E-7]  [  95 -53  88]
ST  3361-1  1.41E4  [   0 5.15E-2 9.68E-7]  [  81 -25  54]
ST  3361-2  1.41E4  [ -75 8.82E-6 9.66E-7]  [  94 -57  88]
ST  3361-3  1.41E4  [-185 2.7E-11 9.21E-7]  [ 102 -55  88]
ST  3362-1  1.41E4  [   0 5.15E-2 9.71E-7]  [  81 -25  87]
